PC1,PC2,PC3,PC4,PC5,KMcluster
-0.005402358002659016,-0.00812249477900275,0.0012783600911557278,-0.003493417586788528,0.0023284839121880483,1
0.0010859903468733434,-0.01342514892898716,-0.003063438392799907,-0.002780274768450253,-0.0012021781349759154,1
-0.01702106259547961,0.01451353017857225,0.0044411119069860325,-0.0024820821537399652,0.014432647560044594,6
-0.005359256451611892,-0.00013947630110672327,0.009578540398815458,-0.008524850004591354,0.007070266264791347,1
0.01970399699654061,-0.0015689552514946683,0.012071886368373495,-0.00417770735117036,-0.003969287948064385,4
0.008371782845559086,-0.009999097199707313,-0.0010790500467905612,-0.006737535725258523,0.0009870621207905617,4
-0.007838056825426685,-0.009370499194072962,0.0039932021854197945,-0.003583439623903714,0.002761649394021075,1
0.0187000686189566,0.012947144378621281,-0.0015068355208106483,-0.005804381867432853,-0.0048294763714847025,4
0.023330177324838424,-0.007340482452972549,0.011848811776156105,0.0011283142995152813,-0.010348290221861798,4
-0.009346895130690102,-0.0010819066202902336,0.021061006779161402,0.0008173950144063867,-0.001985562739216671,1
0.06506670160769847,-0.0022230840536823357,-0.0005595658670573191,0.0034097213746368455,-0.007809505742767063,3
0.009980980992027965,-0.007452852790550322,0.03140440893803626,0.012446056318368079,-0.0188911893461319,8
-0.014882367763307355,-0.02739137953064253,-0.013446548268357913,0.006362890528042193,0.0011827824296039586,2
-0.013301207549950834,-0.03290165735398672,-0.01171934842812377,0.013635349106020165,0.0015999261537593195,2
-0.004736238385198471,-0.003612173663515435,0.004390763212234764,-0.008803510704271586,0.007446760736253712,1
-0.013025296450686171,-0.019799970222896594,-0.002720260873811523,0.0038720050133989937,-0.0017294810255799912,2
-0.016496240278693047,-0.020173372090517852,0.02146406716593915,0.017952248134720898,-0.01526219617908767,8
-0.006645746588589007,-0.01710635088602807,-0.005855228455864509,-0.0006450548472624461,0.0010363395994829867,2
0.004240475747566038,-0.0023726892313805184,0.00039709315532249955,-0.007760652730990955,0.003563206793374749,1
-0.015491242775710535,0.015028737810408118,0.004903512979815336,-0.0053486614849502226,0.003591531009895296,5
-0.007380549536935036,-0.005914292381302014,0.022092059731621285,0.007255521457858175,-0.012261633211939243,8
0.08438403351576372,0.008828685848989024,0.00246545037493839,0.0029553550279207597,-0.0019133295600908431,3
-0.014549514595694054,-0.01285727171418483,0.03626996096492408,0.025191375982399525,-0.02000485484749869,8
0.08392248684096142,0.005612700311883262,-0.0026662377920131323,0.005294732408240263,-0.0021693231663259586,3
0.011687649979496208,-0.0016012127055416102,0.003120109567586146,-0.008835801518298355,0.0029069197011531004,4
0.008130479436001061,0.016548727955498416,0.00722852754435249,-0.006669557624203116,0.008760586584903385,6
-0.014236880666687124,0.0059977361212405385,0.0015296975489901693,-0.00471382332445465,0.004253816398609916,5
